日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）
2012年5月,"9,471.66","9,472.25","8,455.13","8,542.73",801.76,801.97,711.38,719.49,94.8 ,78.81,1.207,-0.9
2012年4月,"10,161.72","10,190.35","9,388.14","9,520.89",862.07,863.23,800.55,804.27,95.0 ,80.74,1.07,-0.7
2012年3月,"9,771.34","10,255.15","9,509.10","10,083.56",840.23,872.42,815.85,854.35,94.9 ,82.17,0.966,0.3
2012年2月,"8,789.06","9,866.41","8,780.10","9,723.24",755.1,847.83,754.84,835.96,94.5 ,80.49,1.137,0.4
2012年1月,"8,549.54","8,911.62","8,349.33","8,802.51",737.52,769.36,722.85,755.27,94.3 ,76.3,1.108,0.3
2011年12月,"8,581.20","8,729.81","8,272.26","8,455.35",740.7,750.61,712.27,728.61,94.1 ,77.57,1.08,0.8
2011年11月,"8,880.75","8,946.00","8,135.79","8,434.61",757.77,761.04,703.88,728.46,94.1 ,78.01,1.325,1.3
2011年10月,"8,567.98","9,152.39","8,343.01","8,988.39",748.8,779.08,724.77,764.06,94.7 ,78.81,1.063,1.3
2011年9月,"9,017.01","9,098.15","8,359.70","8,700.29",776.04,780.99,727.33,761.17,94.6 ,76.7,1.11,2
2011年8月,"9,907.04","10,040.13","8,619.21","8,955.20",847.12,858.53,740.51,770.6,94.6 ,76.58,1.07,2.2
2011年7月,"9,878.69","10,207.91","9,824.34","9,833.03",854.83,879.48,841.37,841.37,94.5 ,77.59,1.195,2.2
2011年6月,"9,708.05","9,849.69","9,318.62","9,816.09",839.41,850.32,801.78,849.22,94.5 ,80.42,1.081,1.9
2011年5月,"9,964.39","10,017.47","9,406.04","9,693.73",861.6,866.65,812.52,838.48,94.7 ,81.6,1.196,1.6
